1980,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,2160,2,LBS. ,3400
1987,188499,HAY GRAIN ,1,Alameda ,6100,1,6100,70,TONS ,427000
1987,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,322000
1987,339999,LETTUCE UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  , 
1987,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,55000
1987,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,4500000
1987,863999,NURSERY FL. PROPG. MTRLS ,1,Alameda ,  ,  ,  ,  ,  ,961000
1987,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,7239000
1987,112999,OATS GRAIN ,1,Alameda ,  ,  ,  ,  ,  , 
1987,194599,PASTURE IRRIGATED ,1,Alameda ,400,  ,  ,  ,  ,22000
1987,194699,PASTURE RANGE ,1,Alameda ,203400,  ,  ,  ,  ,2536000
1987,218299,PERSIMMONS ,1,Alameda ,  ,  ,  ,  ,  , 
1987,462999,RABBITS ,1,Alameda ,  ,  ,  ,  ,  , 
1987,158269,SAFFLOWER ,1,Alameda ,  ,  ,  ,  ,  , 
1987,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,101000
1987,378999,TOMATOES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  , 
1987,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,1270,  ,  ,  ,  ,2493000
1987,263999,WALNUTS ENGLISH ,1,Alameda ,190,0.77,146,938,TONS ,137000
1987,101999,WHEAT ALL ,1,Alameda ,700,1.76,1232,86,TONS ,106000
1987,472999,WOOL ,1,Alameda ,  ,  ,  ,  ,  , 
1988,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,5000,1,LBS ,7000
1988,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,97000,1,LBS ,50400
1988,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,2000,28,COL ,56000
1988,217999,APRICOTS ALL ,1,Alameda ,  ,  ,  ,  ,  , 
1988,169999,BEANS DRY EDIBLE UNSPEC. ,1,Alameda ,  ,  ,  ,  ,  , 
1988,239999,BERRIES BUSHBERRIES UNSPEC. ,1,Alameda ,  ,  ,  ,  ,  , 
1988,310999,CABBAGE HEAD ,1,Alameda ,  ,  ,  ,  ,  , 
1988,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,7478000
1988,314999,CAULIFLOWER UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  , 
1988,604999,CHICKENS BROILERS ,1,Alameda ,  ,  ,  ,  ,  ,2128000
1988,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,405000
1988,111991,CORN GRAIN ,1,Alameda ,  ,  ,  ,  ,  , 
1988,323999,CORN SWEET ALL ,1,Alameda ,  ,  ,  ,  ,  , 
1988,325999,CUCUMBERS ,1,Alameda ,  ,  ,  ,  ,  , 
1988,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,305,  ,  ,  ,  ,88000
1988,867055,FLOWERS ASTERS CUT ,1,Alameda ,  ,  ,  ,  ,  , 
1988,867171,FLOWERS CARNATION CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,603000
1988,867170,FLOWERS CARNATION CUT STD. ,1,Alameda ,  ,  ,  ,  ,  ,1687000
1988,867209,FLOWERS CHRYSNTH. UNSPEC. ,1,Alameda ,  ,  ,  ,  ,  , 
1988,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,6590000
1988,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,6152000
1988,867360,FLOWERS GARDENIAS CUT ,1,Alameda ,  ,  ,  ,  ,  , 
1988,867559,FLOWERS ORCHIDS CUT ALL ,1,Alameda ,  ,  ,  ,  ,  , 
1988,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,939000
1988,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,7444000
1988,933999,FOREST PRODUCTS LUMBER ,1,Alameda ,  ,  ,  ,  ,  ,49241
1988,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,4,  ,  ,  ,  ,24000
1988,634999,GAME BIRDS PIGEONS & SQUABS ,1,Alameda ,  ,  ,  ,  ,  ,19000
1988,216299,GRAPES WINE ,1,Alameda ,1216,3.37,4094,378,TON ,1548000
1988,181999,HAY ALFALFA ,1,Alameda ,1600,7.02,11232,97,TON ,1092000
1988,188499,HAY GRAIN ,1,Alameda ,4200,0.8,3360,68,TON ,229000
1988,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,223000
1988,340999,LETTUCE HEAD ,1,Alameda ,  ,  ,  ,  ,  , 
1988,339999,LETTUCE UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  , 
1988,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,229000
1988,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,4849000
1988,834999,NURSERY PLANTS VEG. BEDDING ,1,Alameda ,  ,  ,  ,  ,  , 
1988,863999,NURSERY FL. PROPG. MTRLS ,1,Alameda ,  ,  ,  ,  ,  ,806000
1988,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,8138000
1988,112999,OATS GRAIN ,1,Alameda ,  ,  ,  ,  ,  , 
1988,194799,PASTURE FORAGE MISC. ,1,Alameda ,  ,  ,  ,  ,  , 
1988,194599,PASTURE IRRIGATED ,1,Alameda ,300,  ,  ,  ,  ,16000
1988,194699,PASTURE RANGE ,1,Alameda ,205800,  ,  ,  ,  ,2552000
1988,218299,PERSIMMONS ,1,Alameda ,  ,  ,  ,  ,  , 
1988,699999,POULTRY UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  , 
1988,462999,RABBITS ,1,Alameda ,  ,  ,  ,  ,  , 
1988,158269,SAFFLOWER ,1,Alameda ,  ,  ,  ,  ,  , 
1988,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,46000
1988,378199,TOMATOES FRESH MARKET ,1,Alameda ,  ,  ,  ,  ,  , 
1988,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,800,  ,  ,  ,  ,2413000
1988,263999,WALNUTS ENGLISH ,1,Alameda ,190,0.76,144,1042,TON ,150000
1988,101999,WHEAT ALL ,1,Alameda ,630,1.4,882,103,TON ,91000
1988,472999,WOOL ,1,Alameda ,  ,  ,  ,  ,  , 
1989,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,2000,1,LBS ,2500
1989,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,77000,1,LBS ,46200
1989,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,1500,32,COL ,48000
1989,113999,BARLEY UNSPECIFIED ,1,Alameda ,396,0.94,373,121,TONS ,45000
1989,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,7002000
1989,604999,CHICKENS BROILERS ,1,Alameda ,  ,  ,  ,  ,  ,2039000
1989,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,296000
1989,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,230,  ,  ,  ,  ,159000
1989,867171,FLOWERS CARNATION CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,413000
1989,867170,FLOWERS CARNATION CUT STD. ,1,Alameda ,  ,  ,  ,  ,  ,2779000
1989,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,6154000
1989,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,5202000
1989,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,743000
1989,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,6478000
1989,933999,FOREST PRODUCTS LUMBER ,1,Alameda ,  ,  ,  ,  ,  ,76170
1989,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,4,  ,  ,  ,  ,24000
1989,216299,GRAPES WINE ,1,Alameda ,1812,4.2,7615,713,TONS ,5432000
1989,181999,HAY ALFALFA ,1,Alameda ,1739,6.42,11164,97,TONS ,1085000
1989,188499,HAY GRAIN ,1,Alameda ,7034,0.81,5686,67,TONS ,383000
1989,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,19000
1989,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,230000
1989,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,4770000
1989,863999,NURSERY FL. PROPG. MTRLS ,1,Alameda ,  ,  ,  ,  ,  ,654000
1989,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,11068000
1989,112999,OATS GRAIN ,1,Alameda ,545,3,1635,89,TONS ,145000
1989,194599,PASTURE IRRIGATED ,1,Alameda ,262,  ,  ,  ,  ,14000
1989,194699,PASTURE RANGE ,1,Alameda ,199500,  ,  ,  ,  ,2830000
1989,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,67000
1989,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,350,  ,  ,  ,  ,859000
1989,263999,WALNUTS ENGLISH ,1,Alameda ,180,1.39,251,1100,TONS ,276000
1989,101999,WHEAT ALL ,1,Alameda ,1097,1.15,1257,103,TONS ,130000
1990,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,1500,1,LBS ,1800
1990,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,50000,1,LBS ,28000
1990,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,1000,30,COL ,30000
1990,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,7031000
1990,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,279000
1990,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,823,  ,  ,  ,  ,173000
1990,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,8136000
1990,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,1412000
1990,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,344000
1990,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,5799000
1990,933999,FOREST PRODUCTS LUMBER ,1,Alameda ,  ,  ,  ,  ,  ,35800
1990,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,4,  ,  ,  ,  ,20000
1990,216299,GRAPES WINE ,1,Alameda ,1628,2.11,3435,880,TONS ,3023000
1990,181999,HAY ALFALFA ,1,Alameda ,1747,6.33,11059,107,TONS ,1182000
1990,188499,HAY GRAIN ,1,Alameda ,4564,0.94,4290,68,TONS ,291000
1990,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,16000
1990,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,1614000
1990,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,8525000
1990,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,13659000
1990,194599,PASTURE IRRIGATED ,1,Alameda ,214,  ,  ,  ,  ,19000
1990,194699,PASTURE RANGE ,1,Alameda ,218948,  ,  ,  ,  ,2862000
1990,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,64000
1990,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,246,  ,  ,  ,  ,879000
1990,263999,WALNUTS ENGLISH ,1,Alameda ,119,1.29,153,837,TONS ,128000
1991,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,1200,1,LBS ,1400
1991,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,42000,1,LBS ,24000
1991,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,1000,32,COL ,32000
1991,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,5748000
1991,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,221000
1991,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,1576,  ,  ,  ,  ,170000
1991,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,6900000
1991,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,1101000
1991,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,579000
1991,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,5890000
1991,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,3,  ,  ,  ,  ,10000
1991,216299,GRAPES WINE ,1,Alameda ,1286,3.84,4938,867,TONS ,4282000
1991,181999,HAY ALFALFA ,1,Alameda ,2233,5.78,12903,91,TONS ,1170000
1991,188499,HAY GRAIN ,1,Alameda ,6849,1.8,12332,60,TONS ,744000
1991,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,9000
1991,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,1231000
1991,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,7658000
1991,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,11301000
1991,194599,PASTURE IRRIGATED ,1,Alameda ,160,  ,  ,  ,  ,9000
1991,194699,PASTURE RANGE ,1,Alameda ,208494,  ,  ,  ,  ,2565000
1991,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,43000
1991,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,260,  ,  ,  ,  ,958000
1991,263999,WALNUTS ENGLISH ,1,Alameda ,119,0.45,53,1057,TONS ,56000
1992,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,1000,1,LBS ,1200
1992,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,30000,0,LBS ,13500
1992,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,1000,32,COL ,32000
1992,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,6347000
1992,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,187000
1992,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,1345,  ,  ,  ,  ,201000
1992,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,8283000
1992,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,1432000
1992,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,528000
1992,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,5753000
1992,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,3,  ,  ,  ,  ,10000
1992,216299,GRAPES WINE ,1,Alameda ,1531,3.28,5028,890,TONS ,4474000
1992,181999,HAY ALFALFA ,1,Alameda ,1675,5.79,9698,79,TONS ,769000
1992,188499,HAY GRAIN ,1,Alameda ,4836,1.51,7302,51,TONS ,374000
1992,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,15000
1992,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,1496000
1992,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,7009000
1992,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,10533000
1992,194599,PASTURE IRRIGATED ,1,Alameda ,155,  ,  ,  ,  ,9000
1992,194699,PASTURE RANGE ,1,Alameda ,208226,  ,  ,  ,  ,2523000
1992,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,67000
1992,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,307,  ,  ,  ,  ,828000
1992,263999,WALNUTS ENGLISH ,1,Alameda ,119,0.79,94,670,TONS ,63000
1993,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,1200,1,LBS ,1400
1993,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,30000,0,LBS ,13800
1993,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,1000,33,COL ,33000
1993,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,7958000
1993,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,186000
1993,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,790,  ,  ,  ,  ,187000
1993,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,9196000
1993,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,1034000
1993,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,407000
1993,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,4613000
1993,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,9,  ,  ,  ,  ,10000
1993,216299,GRAPES WINE ,1,Alameda ,1572,2.7,4248,854,TONS ,3626000
1993,181999,HAY ALFALFA ,1,Alameda ,1650,5.82,9605,102,TONS ,976000
1993,188499,HAY GRAIN ,1,Alameda ,5429,1.61,8759,55,TONS ,482000
1993,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,8000
1993,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,1714000
1993,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,8689000
1993,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,7748000
1993,194599,PASTURE IRRIGATED ,1,Alameda ,140,  ,  ,  ,  ,10000
1993,194699,PASTURE RANGE ,1,Alameda ,207450,  ,  ,  ,  ,2665000
1993,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,70000
1993,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,269,  ,  ,  ,  ,801000
1993,263999,WALNUTS ENGLISH ,1,Alameda ,119,0.85,101,525,TONS ,53000
1993,101999,WHEAT ALL ,1,Alameda ,2338,1.12,2608,96,TONS ,250000
1994,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,1000,1,LBS ,1200
1994,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,20000,0,LBS ,9000
1994,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,1000,33,COL ,33000
1994,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,7147000
1994,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,199000
1994,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,649,  ,  ,  ,  ,160000
1994,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,9493000
1994,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,1334000
1994,867664,FLOWERS ROSES CUT MIN. ,1,Alameda ,  ,  ,  ,  ,  ,255000
1994,867663,FLOWERS ROSES CUT STANDARD ,1,Alameda ,  ,  ,  ,  ,  ,3800000
1994,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,9,  ,  ,  ,  ,10000
1994,216299,GRAPES WINE ,1,Alameda ,2050,2.08,4261,899,TONS ,3829000
1994,181999,HAY ALFALFA ,1,Alameda ,1005,6.06,6090,97,TONS ,589000
1994,188499,HAY GRAIN ,1,Alameda ,4725,1.78,8411,69,TONS ,583000
1994,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,5000
1994,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,784000
1994,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,7835000
1994,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,11725000
1994,194599,PASTURE IRRIGATED ,1,Alameda ,140,  ,  ,  ,  ,10000
1994,194699,PASTURE RANGE ,1,Alameda ,202075,  ,  ,  ,  ,2573000
1994,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,56000
1994,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,227,  ,  ,  ,  ,842000
1994,263999,WALNUTS ENGLISH ,1,Alameda ,113,0.43,49,837,TONS ,41000
1994,101999,WHEAT ALL ,1,Alameda ,1720,0.7,1204,120,TONS ,144000
1995,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,1000,2,LBS ,2000
1995,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,40000,1,LBS ,25600
1995,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,1000,35,COL ,35000
1995,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,6193000
1995,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,149000
1995,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,1225,  ,  ,  ,  ,626000
1995,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,10125000
1995,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,1327000
1995,867669,FLOWERS ROSES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,2041000
1995,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,9,  ,  ,  ,  ,10000
1995,216299,GRAPES WINE ,1,Alameda ,1709,1.9,3253,871,TONS ,2833000
1995,181999,HAY ALFALFA ,1,Alameda ,765,5.95,4550,107,TONS ,485000
1995,188499,HAY GRAIN ,1,Alameda ,5169,1.97,10179,68,TONS ,689000
1995,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,4000
1995,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,736000
1995,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,8022000
1995,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,7269000
1995,194599,PASTURE IRRIGATED ,1,Alameda ,209,  ,  ,  ,  ,11000
1995,194699,PASTURE RANGE ,1,Alameda ,205172,  ,  ,  ,  ,2466000
1995,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,61000
1995,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,199,  ,  ,  ,  ,702000
1995,263999,WALNUTS ENGLISH ,1,Alameda ,85,0.46,39,1308,TONS ,51000
1995,101999,WHEAT ALL ,1,Alameda ,1392,0.79,1101,125,TONS ,138000
1996,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,1100,2,LBS ,2100
1996,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,41000,1,LBS ,22600
1996,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,1000,36,COL ,36000
1996,113999,BARLEY UNSPECIFIED ,1,Alameda ,900,0.83,747,146,TONS ,109000
1996,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,4861000
1996,851999,CHRISTMAS TREES & CUT GREENS ,1,Alameda ,  ,  ,  ,  ,  ,142000
1996,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,1173,  ,  ,  ,  ,386000
1996,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,8772000
1996,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,1139000
1996,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,86,  ,  ,  ,  ,72000
1996,216299,GRAPES WINE ,1,Alameda ,1662,2.85,4730,1029,TONS ,4866000
1996,181999,HAY ALFALFA ,1,Alameda ,899,5.95,5349,110,TONS ,590000
1996,188499,HAY GRAIN ,1,Alameda ,4692,1.53,7179,78,TONS ,559000
1996,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,5000
1996,478999,LIVESTOCK PRODUCTS MISC. ,1,Alameda ,  ,  ,  ,  ,  ,749000
1996,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,6059000
1996,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,9099000
1996,194599,PASTURE IRRIGATED ,1,Alameda ,249,  ,  ,  ,  ,13000
1996,194699,PASTURE RANGE ,1,Alameda ,205883,  ,  ,  ,  ,2617000
1996,419999,SHEEP & LAMBS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,49000
1996,398999,VEGETABLES UNSPECIFIED ,1,Alameda ,175,  ,  ,  ,  ,583000
1996,101999,WHEAT ALL ,1,Alameda ,1240,1.28,1587,135,TONS ,215000
1997,482999,APIARY PRODUCTS BEESWAX ,1,Alameda ,  ,  ,900,3,LBS ,2300
1997,481999,APIARY PRODUCTS HONEY ,1,Alameda ,  ,  ,38000,1,LBS ,24700
1997,486999,APIARY PRODUCTS POLLIN. FEES ,1,Alameda ,  ,  ,1000,38,COL ,38000
1997,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,5675000
1997,198999,FIELD CROPS UNSPECIFIED ,1,Alameda ,975,  ,  ,  ,  ,308000
1997,867999,FLOWERS CUT UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,8772000
1997,879999,FLOWERS FOLIAGE PLANTS ,1,Alameda ,  ,  ,  ,  ,  ,1690000
1997,218899,FRUITS & NUTS UNSPECIFIED ,1,Alameda ,185,  ,  ,  ,  ,75000
1997,216299,GRAPES WINE ,1,Alameda ,1977,4.71,9308,1116,TONS ,10386000
1997,181999,HAY ALFALFA ,1,Alameda ,544,6.31,3433,117,TONS ,401000
1997,188999,HAY OTHER UNSPECIFIED ,1,Alameda ,5273,3.05,16083,52,TONS ,831000
1997,429999,HOGS & PIGS UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,4000
1997,864999,NURSERY PLANTS BEDDING ,1,Alameda ,  ,  ,  ,  ,  ,6459000
1997,895999,NURSERY WOODY ORNAMNTALS ,1,Alameda ,  ,  ,  ,  ,  ,8294000
1997,194599,PASTURE IRRIGATED ,1,Alameda ,339,  ,  ,  ,  ,17000
1997,194699,PASTURE RANGE ,1,Alameda ,204274,  ,  ,  ,  ,2576000
